,question,answer,image_id,answer_idx,tokens,indexed
6065,what is on the left side of the chair,table,image555,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'chair']","[1060, 510, 646, 966, 562, 854, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6066,what is the table colour,brown,image1409,-1,"['what', 'is', 'the', 'table', 'colour']","[1060, 510, 966, 944, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6067,what is in front of the window,sofa,image1267,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'window']","[1060, 510, 500, 400, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6068,what is in front of the table,chair,image1343,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'table']","[1060, 510, 500, 400, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6069,what is in front of the wall,stand,image472,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'wall']","[1060, 510, 500, 400, 643, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6070,what is the object close to the wall,picture,image966,-1,"['what', 'is', 'the', 'object', 'close', 'to', 'the', 'wall']","[1060, 510, 966, 639, 196, 984, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6071,how many pillows are there on the sofa in the right side of the man,2,image229,-1,"['how', 'many', 'pillows', 'are', 'there', 'on', 'the', 'sofa', 'in', 'the', 'right', 'side', 'of', 'the', 'man']","[474, 588, 713, 26, 969, 646, 966, 873, 500, 966, 785, 854, 643, 966, 585, 0, 0, 0, 0, 0]"
6072,what is in between the chairs,television,image1232,-1,"['what', 'is', 'in', 'between', 'the', 'chairs']","[1060, 510, 500, 78, 966, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6073,what are the objects on the trolley,books,image119,-1,"['what', 'are', 'the', 'objects', 'on', 'the', 'trolley']","[1060, 26, 966, 640, 646, 966, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6074,what object is found in between the storage rack and the cabinet,oven,image819,-1,"['what', 'object', 'is', 'found', 'in', 'between', 'the', 'storage', 'rack', 'and', 'the', 'cabinet']","[1060, 639, 510, 391, 500, 78, 966, 918, 759, 15, 966, 137, 0, 0, 0, 0, 0, 0, 0, 0]"
6075,what is the colour of roll of tissue paper,white,image728,-1,"['what', 'is', 'the', 'colour', 'of', 'roll', 'of', 'tissue', 'paper']","[1060, 510, 966, 211, 643, 791, 643, 983, 681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6076,what is on the left side of the tissue box,decorative_item,image1274,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'tissue', 'box']","[1060, 510, 646, 966, 562, 854, 643, 966, 983, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6077,what is on the bed,pillow,image1110,-1,"['what', 'is', 'on', 'the', 'bed']","[1060, 510, 646, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6078,what is on the right side of the table,night_stand,image1075,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'table']","[1060, 510, 646, 966, 785, 854, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6079,what is behind the clothes drying tub,cloth_drying_stand,image493,-1,"['what', 'is', 'behind', 'the', 'clothes', 'drying', 'tub']","[1060, 510, 70, 966, 202, 324, 1015, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6080,what is to the front of the table,chair,image1280,-1,"['what', 'is', 'to', 'the', 'front', 'of', 'the', 'table']","[1060, 510, 984, 966, 400, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6081,what is below the window,air_conditioner,image77,-1,"['what', 'is', 'below', 'the', 'window']","[1060, 510, 72, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6082,what is the colour of the chair seat,white,image797,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'chair', 'seat']","[1060, 510, 966, 211, 643, 966, 177, 824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6083,what is the colour of the tissue roll,white,image738,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'tissue', 'roll']","[1060, 510, 966, 211, 643, 966, 983, 791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6084,what is the object close to the wall,picture,image782,-1,"['what', 'is', 'the', 'object', 'close', 'to', 'the', 'wall']","[1060, 510, 966, 639, 196, 984, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6085,what is behind the wall,table,image266,-1,"['what', 'is', 'behind', 'the', 'wall']","[1060, 510, 70, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6086,what colors are the flower patterns on the pillows,"orange, pink",image1074,-1,"['what', 'colors', 'are', 'the', 'flower', 'patterns', 'on', 'the', 'pillows']","[1060, 210, 26, 966, 379, 687, 646, 966, 713, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6087,what is on the right side of the lamp,flower_pot,image1231,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'lamp']","[1060, 510, 646, 966, 785, 854, 643, 966, 546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6088,what is the colour of doll face,yellow,image780,-1,"['what', 'is', 'the', 'colour', 'of', 'doll', 'face']","[1060, 510, 966, 211, 643, 300, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6089,what is found on the floor,floor_mat,image1230,-1,"['what', 'is', 'found', 'on', 'the', 'floor']","[1060, 510, 391, 646, 966, 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6090,what object is found to the right side of the bed,ironing_board,image968,-1,"['what', 'object', 'is', 'found', 'to', 'the', 'right', 'side', 'of', 'the', 'bed']","[1060, 639, 510, 391, 984, 966, 785, 854, 643, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6091,what is found behind the sink,storage_rack,image893,-1,"['what', 'is', 'found', 'behind', 'the', 'sink']","[1060, 510, 391, 70, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6092,what is around the table,chair,image745,-1,"['what', 'is', 'around', 'the', 'table']","[1060, 510, 31, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6093,what color are the cabinets,brown,image796,-1,"['what', 'color', 'are', 'the', 'cabinets']","[1060, 207, 26, 966, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6094,what is on the right side of the fireplace,picture,image1323,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'fireplace']","[1060, 510, 646, 966, 785, 854, 643, 966, 367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6095,what is on the table,book,image1156,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6096,what is on the top of the sofa,window,image1217,-1,"['what', 'is', 'on', 'the', 'top', 'of', 'the', 'sofa']","[1060, 510, 646, 966, 993, 643, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6097,what is on the table,"box, ashtray",image1340,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6098,what is on the right side of the cable,paper,image860,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'cable']","[1060, 510, 646, 966, 785, 854, 643, 966, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6099,what is the colour of shelf,white,image239,-1,"['what', 'is', 'the', 'colour', 'of', 'shelf']","[1060, 510, 966, 211, 643, 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6100,what are found on the floor,clothes,image1177,-1,"['what', 'are', 'found', 'on', 'the', 'floor']","[1060, 26, 391, 646, 966, 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6101,what are the things inside the display case,"certificate, trophy",image1371,-1,"['what', 'are', 'the', 'things', 'inside', 'the', 'display', 'case']","[1060, 26, 966, 971, 505, 966, 293, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6102,how many stacks of books are there,3,image1288,-1,"['how', 'many', 'stacks', 'of', 'books', 'are', 'there']","[474, 588, 895, 643, 104, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6103,how many black cameras are hanging next to the wall,3,image6,-1,"['how', 'many', 'black', 'cameras', 'are', 'hanging', 'next', 'to', 'the', 'wall']","[474, 588, 90, 145, 26, 444, 628, 984, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6104,what is on the pink drawer table,clothes,image530,-1,"['what', 'is', 'on', 'the', 'pink', 'drawer', 'table']","[1060, 510, 646, 966, 715, 313, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6105,what is behind the red chair,bench,image1309,-1,"['what', 'is', 'behind', 'the', 'red', 'chair']","[1060, 510, 70, 966, 771, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6106,what is behind the chair,bag,image299,-1,"['what', 'is', 'behind', 'the', 'chair']","[1060, 510, 70, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6107,what is stuck to the sink,toilet_paper_holder,image653,-1,"['what', 'is', 'stuck', 'to', 'the', 'sink']","[1060, 510, 925, 984, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6108,what is in front of the table,sofa,image1205,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'table']","[1060, 510, 500, 400, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6109,what is beneath the piano,piano_bench,image1282,-1,"['what', 'is', 'beneath', 'the', 'piano']","[1060, 510, 75, 966, 702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6110,what is on the right side of the bowl,decorative_item,image849,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'bowl']","[1060, 510, 646, 966, 785, 854, 643, 966, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6111,how many bottles are on the desk,11,image4,-1,"['how', 'many', 'bottles', 'are', 'on', 'the', 'desk']","[474, 588, 111, 26, 646, 966, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6112,what is on the table,"paper, basketball",image474,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6113,what is on the blinds,curtain,image584,-1,"['what', 'is', 'on', 'the', 'blinds']","[1060, 510, 646, 966, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6114,what is the black object between the white wall and gray locker,garbage_bin,image12,-1,"['what', 'is', 'the', 'black', 'object', 'between', 'the', 'white', 'wall', 'and', 'gray', 'locker']","[1060, 510, 966, 90, 639, 78, 966, 1067, 1049, 15, 424, 575, 0, 0, 0, 0, 0, 0, 0, 0]"
6115,what is found below the left photo,piano,image1422,-1,"['what', 'is', 'found', 'below', 'the', 'left', 'photo']","[1060, 510, 391, 72, 966, 562, 698, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6116,what are the objects in the shelves,books,image104,-1,"['what', 'are', 'the', 'objects', 'in', 'the', 'shelves']","[1060, 26, 966, 640, 500, 966, 844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6117,what is on the left side of the fireplace,door,image1259,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'fireplace']","[1060, 510, 646, 966, 562, 854, 643, 966, 367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6118,what is behind the chair,bookshelf,image117,-1,"['what', 'is', 'behind', 'the', 'chair']","[1060, 510, 70, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6119,what is the colour of the trash bin,blue,image8,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'trash', 'bin']","[1060, 510, 966, 211, 643, 966, 1004, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6120,what is above the crib,blinds,image1198,-1,"['what', 'is', 'above', 'the', 'crib']","[1060, 510, 5, 966, 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6121,what is beneath the desk,garbage_bin,image370,-1,"['what', 'is', 'beneath', 'the', 'desk']","[1060, 510, 75, 966, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6122,what is beneath the black table,"stool, stool",image52,-1,"['what', 'is', 'beneath', 'the', 'black', 'table']","[1060, 510, 75, 966, 90, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6123,what are the objects in the box close to the pillar,yoga_mat,image89,-1,"['what', 'are', 'the', 'objects', 'in', 'the', 'box', 'close', 'to', 'the', 'pillar']","[1060, 26, 966, 640, 500, 966, 115, 196, 984, 966, 710, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6124,what is the smallest brown object in this picture,lamp_shade,image79,-1,"['what', 'is', 'the', 'smallest', 'brown', 'object', 'in', 'this', 'picture']","[1060, 510, 966, 867, 122, 639, 500, 974, 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6125,what is on the left side of the table,laptop,image378,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'table']","[1060, 510, 646, 966, 562, 854, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6126,how many drawers are open,2,image940,-1,"['how', 'many', 'drawers', 'are', 'open']","[474, 588, 314, 26, 651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6127,what is on the right side of the side table and below the colorful painting,sofa,image50,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'side', 'table', 'and', 'below', 'the', 'colorful', 'painting']","[1060, 510, 646, 966, 785, 854, 643, 966, 854, 944, 15, 72, 966, 209, 676, 0, 0, 0, 0, 0]"
6128,what is inside the bag,chart,image393,-1,"['what', 'is', 'inside', 'the', 'bag']","[1060, 510, 505, 966, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6129,what is at the top right corner in the room,door,image1403,-1,"['what', 'is', 'at', 'the', 'top', 'right', 'corner', 'in', 'the', 'room']","[1060, 510, 32, 966, 993, 785, 240, 500, 966, 796, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6130,what is on the chair,bag,image781,-1,"['what', 'is', 'on', 'the', 'chair']","[1060, 510, 646, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6131,what is on the left side of the sink,tissue_roll,image790,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'sink']","[1060, 510, 646, 966, 562, 854, 643, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6132,what is the colour of the glass on the table,"blue, white",image815,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'glass', 'on', 'the', 'table']","[1060, 510, 966, 211, 643, 966, 417, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6133,what is above the guitar,toy,image323,-1,"['what', 'is', 'above', 'the', 'guitar']","[1060, 510, 5, 966, 429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6134,how many cupboards are there,3,image770,-1,"['how', 'many', 'cupboards', 'are', 'there']","[474, 588, 262, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6135,what is on the left side of the crib,carton,image398,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'crib']","[1060, 510, 646, 966, 562, 854, 643, 966, 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6136,what is in between the chairs,stand,image615,-1,"['what', 'is', 'in', 'between', 'the', 'chairs']","[1060, 510, 500, 78, 966, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6137,what is on the left side of the tap,decorative_plate,image727,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'tap']","[1060, 510, 646, 966, 562, 854, 643, 966, 950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6138,how many faucet handles are there,2,image697,-1,"['how', 'many', 'faucet', 'handles', 'are', 'there']","[474, 588, 356, 437, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6139,what are the objects on the left side of the bed,"alarm_clock, book, shoe, wire",image1104,-1,"['what', 'are', 'the', 'objects', 'on', 'the', 'left', 'side', 'of', 'the', 'bed']","[1060, 26, 966, 640, 646, 966, 562, 854, 643, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6140,how many cushions are on the sofa,2,image580,-1,"['how', 'many', 'cushions', 'are', 'on', 'the', 'sofa']","[474, 588, 267, 26, 646, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6141,what is near the coffee machine,sink,image124,-1,"['what', 'is', 'near', 'the', 'coffee', 'machine']","[1060, 510, 623, 966, 205, 579, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6142,what is the colour of the sheets,"yellow, white",image521,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'sheets']","[1060, 510, 966, 211, 643, 966, 841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6143,what is on top of the kitchen island,tissue_box,image123,-1,"['what', 'is', 'on', 'top', 'of', 'the', 'kitchen', 'island']","[1060, 510, 646, 993, 643, 966, 536, 511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6144,what are the colours in the blanket,"pink, orange, blue, yellow",image1199,-1,"['what', 'are', 'the', 'colours', 'in', 'the', 'blanket']","[1060, 26, 966, 213, 500, 966, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6145,what is in front of the ornamental plant,dog,image900,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'ornamental', 'plant']","[1060, 510, 500, 400, 643, 966, 658, 722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6146,what is on the shelf,"light_bulb, towel",image502,-1,"['what', 'is', 'on', 'the', 'shelf']","[1060, 510, 646, 966, 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6147,how many beds are there,1,image950,-1,"['how', 'many', 'beds', 'are', 'there']","[474, 588, 66, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6148,how many blue bottles in basket,1,image741,-1,"['how', 'many', 'blue', 'bottles', 'in', 'basket']","[474, 588, 98, 111, 500, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6149,what is the largest object,bathtub,image669,-1,"['what', 'is', 'the', 'largest', 'object']","[1060, 510, 966, 554, 639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6150,what is the black object in the image1285 on the floor,chair,image1285,-1,"['what', 'is', 'the', 'black', 'object', 'in', 'the', 'image1285', 'on', 'the', 'floor']","[1060, 510, 966, 90, 639, 500, 966, 489, 646, 966, 377, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6151,what is the largest black object in this picture,sofa,image488,-1,"['what', 'is', 'the', 'largest', 'black', 'object', 'in', 'this', 'picture']","[1060, 510, 966, 554, 90, 639, 500, 974, 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6152,what is on the right side of the guitar,window,image1307,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'guitar']","[1060, 510, 646, 966, 785, 854, 643, 966, 429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6153,what is stuck close to every shelf frame in front of the books,sticker,image107,-1,"['what', 'is', 'stuck', 'close', 'to', 'every', 'shelf', 'frame', 'in', 'front', 'of', 'the', 'books']","[1060, 510, 925, 196, 984, 341, 842, 394, 500, 400, 643, 966, 104, 0, 0, 0, 0, 0, 0, 0]"
6154,what is the largest object,bed,image998,-1,"['what', 'is', 'the', 'largest', 'object']","[1060, 510, 966, 554, 639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6155,what objects are found on the floor,"dog_bed, floor_mat, wire",image1242,-1,"['what', 'objects', 'are', 'found', 'on', 'the', 'floor']","[1060, 640, 26, 391, 646, 966, 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6156,what is on the shelves rack,alarm_clock,image376,-1,"['what', 'is', 'on', 'the', 'shelves', 'rack']","[1060, 510, 646, 966, 844, 759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6157,how many sofas are there,3,image630,-1,"['how', 'many', 'sofas', 'are', 'there']","[474, 588, 874, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6158,what is colour of ring,black,image18,-1,"['what', 'is', 'colour', 'of', 'ring']","[1060, 510, 211, 643, 787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6159,what is on the right side of the monitor,cup,image903,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'monitor']","[1060, 510, 646, 966, 785, 854, 643, 966, 608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6160,what is on the left side of the rack,door,image578,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'rack']","[1060, 510, 646, 966, 562, 854, 643, 966, 759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6161,what is infornt of the wall,"bin, table, chair",image59,-1,"['what', 'is', 'infornt', 'of', 'the', 'wall']","[1060, 510, 502, 643, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6162,what are the colours of the sofas,"white, yellow, gray",image1429,-1,"['what', 'are', 'the', 'colours', 'of', 'the', 'sofas']","[1060, 26, 966, 213, 643, 966, 874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6163,how many chairs are there,2,image797,-1,"['how', 'many', 'chairs', 'are', 'there']","[474, 588, 178, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6164,what is behind the stool,water_cooler,image836,-1,"['what', 'is', 'behind', 'the', 'stool']","[1060, 510, 70, 966, 916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6165,what is the largest object,sofa,image43,-1,"['what', 'is', 'the', 'largest', 'object']","[1060, 510, 966, 554, 639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6166,what is on the table,"paper, pen",image645,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6167,what color is the towel,white,image46,-1,"['what', 'color', 'is', 'the', 'towel']","[1060, 207, 510, 966, 998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6168,what is in the right side,sofa,image1241,-1,"['what', 'is', 'in', 'the', 'right', 'side']","[1060, 510, 500, 966, 785, 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6169,what is the object close to the counter,sink,image699,-1,"['what', 'is', 'the', 'object', 'close', 'to', 'the', 'counter']","[1060, 510, 966, 639, 196, 984, 966, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6170,what is attached to the drawer in the left side,drawer_knob,image1031,-1,"['what', 'is', 'attached', 'to', 'the', 'drawer', 'in', 'the', 'left', 'side']","[1060, 510, 33, 984, 966, 313, 500, 966, 562, 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6171,what are the things on the table,"lamp, books, photo",image1324,-1,"['what', 'are', 'the', 'things', 'on', 'the', 'table']","[1060, 26, 966, 971, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6172,what is on the table,books,image545,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6173,what is on the bed apart from the pillows,tissue_roll,image1195,-1,"['what', 'is', 'on', 'the', 'bed', 'apart', 'from', 'the', 'pillows']","[1060, 510, 646, 966, 62, 18, 399, 966, 713, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6174,what is on the shelves,pillow,image231,-1,"['what', 'is', 'on', 'the', 'shelves']","[1060, 510, 646, 966, 844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6175,how many bottles are there,14,image4,-1,"['how', 'many', 'bottles', 'are', 'there']","[474, 588, 111, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6176,what is the yellow machine on the counter,electric_mixer,image134,-1,"['what', 'is', 'the', 'yellow', 'machine', 'on', 'the', 'counter']","[1060, 510, 966, 1091, 579, 646, 966, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6177,what is behind the framed picture,papers,image371,-1,"['what', 'is', 'behind', 'the', 'framed', 'picture']","[1060, 510, 70, 966, 395, 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6178,what is under the painting,sofa,image43,-1,"['what', 'is', 'under', 'the', 'painting']","[1060, 510, 1025, 966, 676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6179,what is on the left side of the chair,table,image640,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'chair']","[1060, 510, 646, 966, 562, 854, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6180,what is on the left side of the door,towel,image681,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'door']","[1060, 510, 646, 966, 562, 854, 643, 966, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6181,what is the object on the floor left of the bed,chair,image989,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'floor', 'left', 'of', 'the', 'bed']","[1060, 510, 966, 639, 646, 966, 377, 562, 643, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
